KIC	HIP	HD	Teff	eTeff	V	eV	GLON	GLAT	Para	ePara	Flag	#Note						
KIC8566020g	96459	185351	5035	80	5.18	0.01	77.617	11.3472	24.49	0.22	HIP	#Ghezzi	2014	Teff	infalted	error	bar	
C2(203514293)g	79364	145428	4818	100	7.75	0.01	349.58	18.331	5.392437138	1.031082858	Gaia	#Witten	PPPS	V	Teff	inflated	error	bar
C7(215745876)g	95124	181342	4965	80	7.55	0.01	14.5	-16.72	8.3348378718	0.560739239	Gaia	#Mortier	2013	Teff-inflated	error	bar		
C3(205924248)g	110813	212771	5065	95	7.6	0.01	41.795	-55.291	8.9536025861	0.5311903005	Gaia	#Mike-	Teff	from	Thierry	Morel		
C8(220222356)g	4297	5319	4869	80	8.05	0.02	124.846	-62.07	8.3581075646	0.5678472469	Gaia	#Mortier	2013	Teff-inflated	error	bar		
KIC8566020	96459	185351	5035	80	5.18	0.01	77.617	11.3472	24.49	0.22	HIP	#Ghezzi	2014	Teff	infalted	error	bar	
C2(203514293)	79364	145428	4818	100	7.75	0.01	349.58	18.331	7.62	0.81	HIP	#Witten	PPPS	V	Teff	inflated	error	bar
C7(215745876)	95124	181342	4965	80	7.55	0.01	14.5	-16.72	9.04	0.61	HIP	#Mortier	2013	Teff-inflated	error	bar		
C3(205924248)	110813	212771	5065	95	7.6	0.01	41.795	-55.291	7.63	0.8	HIP	#Mike-	Teff	from	Thierry	Morel		
C8(220222356)	4297	5319	4869	80	8.05	0.02	124.846	-62.07	8.74	0.86	HIP	#Mortier	2013	Teff-inflated	error	bar		
C8_220548055	3574	4313	4966	40	7.82	0.01	120.44	-55	7.3	0.76	HIP	#Teff from sweetcat Mortier 2013	 Johnson 2010					
C10_228737206	59625	106270	5601	50	7.58	0.01	287.6	52.23	11.78	0.79	HIP	#Johnson 2011 Teff from Sweetcat mortier 2013						
C8_220548055g	3574	4313	4966	40	7.82	0.01	120.44	-55	7.5594647766	0.6714754836	GAIA	#Teff from sweetcat Mortier 2013	 Johnson 2010					
C10_228737206g	59625	106270	5601	50	7.58	0.01	287.6	52.23	11.78	0.79	HIP	#Johnson 2011 Teff from Sweetcat mortier 2013						

