HIP,ra,dec,parallax,err(parallax),V,I,B-V,err(B-V),teff,lum,rad,numax,Mv,RA,Dec,V.1,Camp,HD,label,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID,Ang Sep (')
HIP3208,10.208001,4.478315,5.16,0.72,7.99,7.175,0.903,0.017,5041.02328728,24.3210539125,6.47677071666,85.999562378,1.55324850814,10.208001,4.478315,7.99,8.0,3819.0,field,220388171,10.2080021,4.4783158,1,8.321,3208.0,14-570-1,473-000990,00404992+0428419,,STAR,gri,plx,-11.92,0.68,-20.75,0.51,5.16,0.72,8.902,0.02,7.971,0.013,,,9.78,0.03,8.758,0.04,7.696,0.06,,,6.348,0.041,5.928,0.047,5.817,0.016,,,,,,,,,4652.0,111.0,92.0,2.643,0.185,0.185,0.071,0.12,0.15,9.771,1.709,1.718,1.539,0.352,0.352,0.002,0.001,0.0008157,193.8,27.04,27.04,0.041,0.024,0.02,AAA-111-111-000-0-0,,,0.0001709
HIP3319,10.582906,4.81044,3.15,1.52,9.75,9.102,0.643,0.052,5741.28341673,10.7155569262,3.31431770299,334.773764522,2.24155276895,10.582906,4.81044,9.75,8.0,,field,220404775,10.5829039,4.8104391,1,9.696,3319.0,14-566-1,475-001045,00421989+0448374,,STAR,gri,plx,-22.58,1.35,-31.07,0.94,3.15,1.52,10.354,0.045,9.818,0.041,,,10.365,0.24,9.63,0.07,9.409,0.02,,,8.683,0.024,8.419,0.023,8.35,0.027,,,,,,,,,6062.0,182.0,182.0,3.873,0.145,0.145,0.002,0.15,0.18,2.121,0.622,0.409,1.374,0.206,0.206,0.118,0.085,0.049,317.5,153.2,153.2,0.036,0.032,0.016,AAA-111-111-000-0-0,,,0.0007657
HIP3350,10.670552,1.695158,5.71,0.95,8.61,8.032,0.564,0.017,6025.05745516,8.93964317263,2.74879556696,494.701333842,2.39318054123,10.670552,1.695158,8.61,8.0,4007.0,field,220255967,10.6705513,1.695158,1,8.841,3350.0,11-1113-1,459-000901,00424093+0141426,,STAR,gri,plx,28.6,0.91,-28.79,0.57,5.71,0.95,9.122,0.017,8.585,0.013,,,10.217,0.03,8.735,0.04,8.251,0.06,,,7.651,0.027,7.483,0.038,7.378,0.02,,,,,,,,,6173.0,183.0,183.0,3.787,0.085,0.085,0.028,0.1,0.14,2.538,0.392,0.34,1.549,0.146,0.175,0.087,0.038,0.026,175.1,29.14,29.14,0.035,0.024,0.015,AAA-111-111-000-0-0,,,0.0005781
HIP3364,10.70397,8.71482,5.38,1.19,9.65,9.052,0.567,0.041,6013.61206078,3.86941331318,1.81533373912,1063.96511842,3.30391137833,10.70397,8.71482,9.65,8.0,4015.0,field,220585602,10.70397,8.7148209,1,9.547,3364.0,604-332-1,494-000964,00424895+0842533,,STAR,BV,plx,-13.09,1.18,-12.31,0.76,5.38,1.19,10.171,0.034,9.632,0.029,,,,,,,,,,,8.569,0.019,8.28,0.026,8.286,0.024,,,,,,,,,6072.0,181.0,181.0,4.021,0.125,0.15,-0.108,0.2,0.24,1.729,0.41,0.281,1.195,0.161,0.161,0.208,0.122,0.088,185.9,41.11,41.11,0.027,0.018,0.009,AAA-111-111-000-0-0,,,0.0006945
HIP3384,10.755571,9.018982,8.32,0.8,8.62,7.905,0.752,0.018,5408.4739103,4.6632864471,2.46377647188,548.47728945,3.22061663145,10.755571,9.018982,8.62,8.0,4044.0,field,220599728,10.7555714,9.0189819,1,8.659,3384.0,604-404-1,496-001116,00430133+0901084,,STAR,gri,plx,-19.16,0.83,49.56,0.48,8.32,0.8,9.351,0.023,8.602,0.016,,,9.541,0.03,9.225,0.04,8.281,0.06,,,7.133,0.02,6.728,0.047,6.664,0.026,,,,,,,,,6124.0,181.0,145.0,3.853,0.081,0.045,-0.094,0.12,0.33,2.154,0.297,0.082,1.336,0.171,0.199,0.116,0.033,0.022,120.2,11.56,11.56,0.017,0.018,0.004,AAA-111-111-000-0-0,,,0.000714
HIP3574,11.418159,7.845021,7.3,0.76,7.83,6.981,0.963,0.017,4916.51718198,14.7173124971,5.29668161701,121.929867326,2.1466143006,11.418159,7.845021,7.83,8.0,4313.0,host,220548055,11.4181604,7.8450208,1,7.66,3574.0,604-1102-1,490-001116,00454035+0750421,,STAR,BV,plx,-5.14,0.72,6.69,0.47,7.3,0.76,8.788,0.02,7.822,0.013,,,,,,,,,,,6.159,0.023,5.774,0.044,5.595,0.021,,,,,,,,,5185.0,83.0,250.0,3.356,0.02,0.399,0.095,0.06,0.52,4.838,1.188,0.097,1.94,0.039,0.849,0.017,0.001,0.012,137.0,14.26,14.26,0.023,0.005,0.007,AAA-111-111-000-0-0,,,0.0003787
HIP3591,11.477409,0.579409,6.57,0.7,7.68,6.86,0.941,0.01,4961.10682034,20.3509835576,6.1170253521,94.1943978948,1.7678268478,11.477409,0.579409,7.68,8.0,4352.0,field,220216322,11.477417,0.579407,1,7.519,3591.0,11-529-1,453-001032,00455458+0034458,,STAR,BV,plx,111.16,0.73,18.28,0.44,6.57,0.7,8.623,0.016,7.676,0.011,,,,,,,,,,,6.0,0.021,5.488,0.029,5.352,0.016,,,,,,,,,4792.0,116.0,116.0,2.87,0.105,0.189,-0.154,0.2,0.36,7.095,1.706,1.166,1.263,0.548,0.304,0.004,0.002,0.002,152.2,16.22,16.22,0.028,0.018,0.009,AAA-111-111-000-0-0,,,0.003
HIP3652,11.69284,2.356852,3.94,0.97,8.85,7.929,1.043,0.036,4762.49317167,21.5078332096,6.82392638378,74.1031043396,1.82748110913,11.69284,2.356852,8.85,8.0,4465.0,field,220286829,11.6928396,2.3568521,0,8.686,3652.0,11-420-1,462-001088,00464628+0221247,,STAR,gri,,-5.13,0.95,-13.98,0.64,3.94,0.97,9.911,0.036,8.882,0.02,,,9.554,0.01,9.111,0.01,8.314,0.03,,,7.086,0.026,6.565,0.027,6.431,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,17.1,,0.0004316
HIP3655,11.697882,1.5441,3.85,0.73,8.78,7.975,0.908,0.02,5030.27855046,21.1926454492,6.07174119901,96.7224874742,1.70730364754,11.697882,1.5441,8.78,8.0,4447.0,field,220248603,11.6978836,1.544098,0,9.37,3655.0,11-249-1,458-001047,00464749+0132388,,STAR,gri,,8.38,0.79,0.79,0.58,3.85,0.73,9.71,0.026,8.785,0.016,,,9.572,0.07,9.302,0.02,8.398,0.03,,,7.072,0.021,6.594,0.033,6.478,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,84.8,,0.0005297
HIP3658,11.708167,4.836339,2.35,1.08,8.99,8.132,1.026,0.035,4794.31742455,52.2059870036,10.4908655522,33.6480576005,0.845339311359,11.708167,4.836339,8.99,8.0,4446.0,field,220406074,11.708169,4.836338,1,8.842,3658.0,14-731-1,475-001141,00464996+0450107,,STAR,gri,plx,27.23,1.01,3.86,0.71,2.35,1.08,10.02,0.035,8.964,0.02,,,9.856,0.31,9.237,0.17,8.408,0.07,,,7.192,0.026,6.704,0.021,6.561,0.024,,,,,,,,,4823.0,115.0,115.0,2.538,0.248,0.186,-0.128,0.2,0.36,10.676,0.891,1.459,1.486,0.629,0.524,0.001,0.001,0.0003167,425.5,195.6,195.6,0.034,0.029,0.013,AAA-111-111-000-0-0,,,0.0001806
