HIP,ra,dec,parallax,err(parallax),V,I,B-V,err(B-V),teff,lum,rad,numax,Mv,RA,Dec,V,Camp,HD
93923.0,286.868199,-30.786194,6.13,1.39,9.32,8.638,0.644,0.033,5737.92633718,4.20693740254,2.07911170304,792.816901091,3.25730237259,286.868199,-30.786194,9.32,7.0,177823.0
94108.0,287.351284,-30.644908,5.43,1.34,8.96,7.957,1.16,0.035,4552.71345828,11.5897750056,5.48152757372,106.618612746,2.63399914794,287.351284,-30.644908,8.96,7.0,178321.0
83806.0,256.912708,-30.300607,6.33,1.36,9.46,9.007,0.552,0.044,6071.36092136,3.30652766356,1.64633690434,1286.04406132,3.46701855009,256.912708,-30.300607,9.46,11.0,154603.0
84576.0,259.335584,-30.164442,5.9,0.78,6.96,6.235,0.82,0.015,5231.56273842,44.9556183128,8.17586754516,57.8289899926,0.814260058211,259.335584,-30.164442,6.96,11.0,156184.0
85770.0,262.887733,-29.967312,1.88,2.16,9.45,8.919,0.649,0.042,5721.22833111,39.7956013364,6.43196555122,97.8693212599,0.820789246318,262.887733,-29.967312,9.45,11.0,315939.0
85132.0,260.974924,-29.82116,11.3,0.93,7.59,6.769,0.92,0.015,5004.78432436,7.29323937693,3.59827403992,253.42677846,2.85539221742,260.974924,-29.82116,7.59,11.0,157336.0
84501.0,259.135838,-29.731021,2.93,1.51,9.04,8.496,0.59,0.015,5927.61138768,23.1414375724,4.56920301666,190.34295427,1.37433810177,259.135838,-29.731021,9.04,11.0,156039.0
86404.0,264.835182,-29.53097,7.06,0.63,6.72,5.896,0.936,0.008,4971.40290477,42.4238072517,8.79531973815,48.2044827095,0.964023505259,264.835182,-29.53097,6.72,11.0,160108.0
79722.0,244.06294,-29.242349,4.89,1.26,9.13,8.375,0.826,0.031,5216.93037379,8.90963671946,3.66019861362,255.111791214,2.57654429562,244.06294,-29.242349,9.13,2.0,146237.0
93877.0,286.776907,-29.160845,4.42,1.19,8.75,7.856,1.079,0.029,4696.3879022,19.4572998793,6.6744902037,76.2152116725,1.97711134675,286.776907,-29.160845,8.75,7.0,177736.0
79520.0,243.409292,-29.056878,10.74,0.87,7.54,6.932,0.598,0.015,5898.4263049,6.88496327704,2.51700010558,570.99931061,2.69502140682,243.409292,-29.056878,7.54,2.0,145736.0
85712.0,262.72715,-29.045522,3.88,1.29,9.4,8.879,0.59,0.015,5927.61138768,9.47244568783,2.92331994472,434.880966558,2.34415862797,262.72715,-29.045522,9.4,11.0,158514.0
85928.0,263.402421,-28.920005,3.13,1.73,10.13,9.189,1.16,0.015,4552.71345828,11.8736977366,5.54826371171,104.2582347,2.60772168773,263.402421,-28.920005,10.13,11.0,315982.0
81527.0,249.779474,-28.904021,5.96,1.22,8.55,7.652,1.101,0.023,4656.73868986,13.1669585859,5.58449276978,105.173836,2.4262312987,249.779474,-28.904021,8.55,2.0,149961.0
83078.0,254.639251,-28.820387,2.69,1.16,8.69,7.823,1.036,0.031,4775.54608075,53.0768029481,10.6613213203,32.5419135986,0.838761400012,254.639251,-28.820387,8.69,11.0,153100.0
94059.0,287.234415,-28.741042,6.67,0.96,7.98,7.144,0.99,0.017,4863.2380898,15.8129720743,5.61126039995,108.493072234,2.10062916958,287.234415,-28.741042,7.98,7.0,178251.0
85320.0,261.528278,-28.54359,8.29,0.89,7.78,7.02,0.869,0.001,5116.1471237,11.1184068234,4.25147829044,189.94197416,2.37277265275,261.528278,-28.54359,7.78,11.0,157719.0
94261.0,287.799757,-28.534138,5.09,1.2,8.56,7.738,0.958,0.02,4926.55300021,15.3682275798,5.39051560984,118.25402673,2.09358891168,287.799757,-28.534138,8.56,7.0,178814.0
83246.0,255.225474,-28.399336,10.09,1.3,8.22,7.461,0.59,0.027,5927.61138768,4.15282129199,1.93560577404,932.460332087,3.23945583118,255.225474,-28.399336,8.22,11.0,153483.0
82941.0,254.236539,-28.394595,1.26,3.18,10.1,9.223,1.068,0.12,4716.41561065,68.2634088572,12.3958006898,24.3420652563,0.601852725588,254.236539,-28.394595,10.1,11.0,
96094.0,293.058665,-28.375361,4.5,1.33,8.46,7.455,1.153,0.033,4564.89775622,26.5390138814,8.25059019676,50.1616243179,1.72606256888,293.058665,-28.375361,8.46,7.0,183782.0
92356.0,282.344405,-28.286385,4.31,1.4,9.1,8.296,1.0,0.04,4843.8674713,13.6446031408,5.2541284355,122.079546295,2.2723863508,282.344405,-28.286385,9.1,7.0,173966.0
87903.0,269.339399,-28.188387,3.46,1.56,9.54,8.986,0.572,0.02,5994.65290882,10.3776411158,2.99175464506,420.99037662,2.23538049396,269.339399,-28.188387,9.54,9.0,163452.0
92664.0,283.243691,-28.145247,4.29,1.05,8.18,7.246,1.099,0.018,4660.32197372,35.6570619803,9.1758365379,41.9991463819,1.34228646092,283.243691,-28.145247,8.18,7.0,174709.0
82878.0,254.067217,-28.099442,6.09,1.11,8.37,7.751,0.607,0.026,5866.04388361,10.0167855314,3.06957541273,393.527526094,2.29308646316,254.067217,-28.099442,8.37,11.0,152752.0
81521.0,249.768467,-27.982315,7.85,0.93,8.14,7.558,0.626,0.011,5799.24887393,7.52853721676,2.72280501751,486.086662938,2.61434828373,249.768467,-27.982315,8.14,2.0,149960.0
84407.0,258.842538,-27.970412,9.19,0.87,8.54,7.782,0.86,0.015,5136.67696319,4.46055308719,2.6713733079,450.361231827,3.35657755693,258.842538,-27.970412,8.54,11.0,155867.0
95386.0,291.060926,-27.844755,2.45,1.61,9.03,8.211,1.0,0.04,4843.8674713,45.038433853,9.54578988073,40.4498776986,0.975830421823,291.060926,-27.844755,9.03,7.0,182120.0
81731.0,250.406502,-27.809678,7.26,0.64,6.52,5.566,1.119,0.008,4624.66757143,58.6698698257,11.9522937052,25.5729927433,0.8246831035,250.406502,-27.809678,6.52,2.0,150367.0
88906.0,272.22573,-27.783634,5.17,0.87,7.48,6.581,1.065,0.023,4721.90277529,45.1426086408,10.0568964794,35.8774539891,1.04745271547,272.22573,-27.783634,7.48,9.0,165787.0
83809.0,256.919118,-27.702219,4.93,1.5,8.89,8.274,0.652,0.025,5711.27930578,9.71005287347,3.18822331512,357.949592264,2.35423459639,256.919118,-27.702219,8.89,11.0,154626.0
80535.0,246.624627,-27.688958,8.32,1.21,8.63,8.046,0.564,0.018,6025.05745516,4.13376466006,1.86919763865,1009.70483226,3.23061663145,246.624627,-27.688958,8.63,2.0,148040.0
93392.0,285.320805,-27.550589,4.39,1.64,9.28,8.56,0.843,0.005,5176.25313918,9.75579821906,3.89049736826,226.24400742,2.49232260121,285.320805,-27.550589,9.28,7.0,176419.0
92086.0,281.516071,-27.498997,9.92,0.64,6.61,5.785,0.944,0.008,4954.95893296,23.9983367217,6.65909464714,80.410184527,1.59255836077,281.516071,-27.498997,6.61,7.0,173378.0
88683.0,271.557335,-27.492689,15.82,0.57,7.29,6.672,0.611,0.015,5851.80499589,4.0223279104,1.95462649159,904.963295451,3.28603239581,271.557335,-27.492689,7.29,9.0,165269.0
94473.0,288.413746,-27.394199,2.71,1.46,8.94,8.055,1.16,0.04,4552.71345828,47.395387944,11.0849092453,28.9765402924,1.10484645437,288.413746,-27.394199,8.94,7.0,179452.0
83428.0,255.779407,-27.304775,4.83,1.52,9.27,8.593,0.767,0.039,5367.59829737,7.68487213602,3.21116813165,333.628600531,2.68973565376,255.779407,-27.304775,9.27,11.0,153874.0
80123.0,245.326647,-27.231547,3.52,1.25,8.89,8.097,0.88,0.003,5091.43304022,22.3840432392,6.09107476166,97.2302414669,1.62271331739,245.326647,-27.231547,8.89,2.0,147166.0
84144.0,258.045563,-27.04236,7.1,0.67,6.75,5.852,0.998,0.142,4847.72693485,43.6990282065,9.38781077641,41.7487419145,1.0062917436,258.045563,-27.04236,6.75,11.0,155363.0
95865.0,292.467437,-26.985607,13.94,1.03,5.46,4.484,1.12,0.015,4622.89495345,42.2890053547,10.1552453482,34.5569915444,1.18131386881,292.467437,-26.985607,5.46,7.0,183275.0
76611.0,234.680119,-26.841049,4.98,0.81,8.51,7.855,0.677,0.019,5630.38863969,13.7091686165,3.89792561998,243.582195971,1.9961467138,234.680119,-26.841049,8.51,15.0,139383.0
93982.0,287.033749,-26.834654,6.58,0.64,7.16,6.296,0.991,0.015,4861.2926713,34.6162661611,8.30885747073,52.4629256877,1.25112946807,287.033749,-26.834654,7.16,7.0,178049.0
81910.0,250.96431,-26.808945,21.53,0.4,6.72,6.058,0.674,0.015,5639.9066783,3.80696044744,2.04715196046,803.035629627,3.38522014912,250.96431,-26.808945,6.72,2.0,150698.0
86265.0,264.400488,-26.798035,2.28,2.19,9.8,9.012,0.926,0.015,4992.18685419,23.5661770523,6.50081247706,84.6505405576,1.589674235,264.400488,-26.798035,9.8,9.0,
78031.0,238.999545,-26.76916,5.55,1.45,9.15,8.504,0.724,0.03,5487.80824448,6.31012482143,2.78372195407,443.487602611,2.87146491561,238.999545,-26.76916,9.15,2.0,142523.0
82583.0,253.233364,-26.75065,2.78,1.12,8.55,7.595,1.095,0.029,4667.50090897,60.1364337669,11.8796801446,26.0832183217,0.77022397959,253.233364,-26.75065,8.55,11.0,152178.0
75288.0,230.737737,-26.688766,6.31,0.5,6.53,5.584,1.118,0.009,4626.4411236,76.8714965555,13.6707809256,19.9527117634,0.530146796221,230.737737,-26.688766,6.53,15.0,136703.0
93339.0,285.177518,-26.671406,3.45,1.23,9.04,8.135,1.08,0.035,4694.5741678,24.4761984231,7.49176779877,61.5289975161,1.72909547537,285.177518,-26.671406,9.04,7.0,176336.0
92635.0,283.117978,-26.65077,8.8,0.45,6.28,5.475,0.941,0.002,4961.10682034,41.1861121953,8.70207812287,49.0706808921,1.00241336075,283.117978,-26.65077,6.28,7.0,174630.0
83296.0,255.351094,-26.643807,8.51,1.36,8.11,7.534,0.577,0.014,5975.83975862,6.41871775615,2.36772351802,647.093446652,2.75964780042,255.351094,-26.643807,8.11,11.0,153567.0
84851.0,260.127939,-26.549775,8.08,0.66,7.09,6.258,0.936,0.009,4971.40290477,23.0354298887,6.48104403667,84.8027131633,1.62705680387,260.127939,-26.549775,7.09,11.0,156780.0
77405.0,237.032481,-26.535194,5.59,1.6,9.38,8.698,0.692,0.035,5583.56009192,4.92867230279,2.37655198179,603.737374804,3.11705903943,237.032481,-26.535194,9.38,15.0,141092.0
77611.0,237.666884,-26.529471,4.88,1.24,8.29,7.576,0.818,0.022,5236.47307763,19.2747276659,5.34344213019,127.127355304,1.73209911001,237.666884,-26.529471,8.29,15.0,141555.0
79397.0,243.060704,-26.479461,3.34,1.4,9.33,8.647,0.709,0.033,5531.99950509,14.61571239,4.16917825602,211.616976332,1.94873233406,243.060704,-26.479461,9.33,2.0,145481.0
79442.0,243.190075,-26.365513,3.78,1.55,9.44,8.837,0.622,0.02,5813.13430382,9.78373460016,3.08913119485,385.702608769,2.32745899919,243.190075,-26.365513,9.44,2.0,145571.0
84933.0,260.375674,-26.337771,5.84,1.04,8.5,7.853,0.676,0.022,5633.55564252,10.0548550655,3.3344750036,325.320529172,2.33206423556,260.375674,-26.337771,8.5,11.0,156933.0
92166.0,281.772859,-26.25076,2.35,1.95,10.02,9.236,1.02,0.02,4805.6536382,20.0900013167,6.47723695496,82.2874241971,1.87533931136,281.772859,-26.25076,10.02,7.0,
92314.0,282.224684,-26.047035,6.01,2.86,9.11,7.986,0.585,0.034,5946.04331841,5.14375934683,2.14086320639,776.055222313,3.00437236001,282.224684,-26.047035,9.11,7.0,173918.0
76946.0,235.673102,-25.990485,3.2,2.91,10.61,10.016,0.706,0.115,5540.98329745,4.88836000024,2.40332577342,587.203727625,3.1357498916,235.673102,-25.990485,10.61,15.0,
75092.0,230.172574,-25.99039,12.98,0.77,7.11,6.212,1.029,0.014,4788.67024295,9.6978232901,4.53223066401,158.786227089,2.67637346232,230.172574,-25.99039,7.11,15.0,136295.0
87661.0,268.57653,-25.962143,7.08,1.27,9.0,8.413,0.6,0.031,5891.18894461,4.1332887524,1.95499974258,910.243557036,3.25016628845,268.57653,-25.962143,9.0,9.0,162871.0
79364.0,242.963558,-25.883572,7.62,0.81,7.73,6.855,1.024,0.012,4798.0899022,15.8136981506,5.76480597943,101.935046582,2.1397748567,242.963558,-25.883572,7.73,2.0,145428.0
80027.0,245.040901,-25.857339,2.88,1.63,9.54,9.007,0.634,0.016,5771.76006031,15.4744423854,3.94090260652,244.198987863,1.8369624388,245.040901,-25.857339,9.54,2.0,146998.0
87422.0,267.979414,-25.772975,3.97,0.7,7.79,6.874,1.072,0.02,4709.11631438,57.9647744786,11.4579777663,28.1155647416,0.783952533816,267.979414,-25.772975,7.79,9.0,162389.0
94699.0,289.047301,-25.666765,8.15,0.79,7.14,6.15,1.143,0.017,4582.37358593,26.9916963387,8.257314745,50.2624556238,1.6957880437,289.047301,-25.666765,7.14,7.0,180091.0
88798.0,271.894313,-25.5699,3.56,1.05,8.34,7.498,0.952,0.024,4938.67074368,38.2154611437,8.45871010319,51.4992503867,1.09724998986,271.894313,-25.5699,8.34,9.0,165530.0
75927.0,232.614833,-25.300115,4.39,1.31,8.84,7.948,1.064,0.031,4723.73428393,17.8724889019,6.32304588037,84.6878696679,2.05232260121,232.614833,-25.300115,8.84,15.0,138065.0
79684.0,243.945258,-25.121534,13.6,0.73,7.74,7.02,0.767,0.015,5367.59829737,3.9669167889,2.30712575586,615.046657059,3.40769454185,243.945258,-25.121534,7.74,2.0,146156.0
76201.0,233.478299,-25.110501,10.97,0.81,7.62,7.03,0.585,0.005,5946.04331841,6.08998650937,2.32946807413,663.830364228,2.82103313787,233.478299,-25.110501,7.62,15.0,138600.0
96494.0,294.258376,-25.080267,8.08,0.74,8.37,7.811,0.554,0.015,6063.58587882,5.54309990286,2.13708611324,792.743574009,2.90705680387,294.258376,-25.080267,8.37,7.0,184778.0
86866.0,266.227343,-24.684014,7.29,1.51,8.84,8.026,0.959,0.033,4924.54136188,5.79546898964,3.31296958836,290.91528925,3.15363764159,266.227343,-24.684014,8.84,11.0,161136.0
92576.0,282.965598,-24.654451,3.78,0.98,8.02,7.043,1.182,0.026,4514.67080458,58.2700171178,12.4989960569,23.0265731392,0.907458999186,282.965598,-24.654451,8.02,7.0,174521.0
92994.0,284.179729,-24.620726,7.28,0.73,7.51,6.571,1.113,0.014,4635.32304573,23.2940322982,7.49664695551,60.7409875305,1.82065689657,284.179729,-24.620726,7.51,7.0,175526.0
86705.0,265.744308,-24.556589,3.84,2.36,10.57,10.124,0.75,0.015,5414.00800748,3.62803235022,2.16871519825,695.112368196,3.49165612184,265.744308,-24.556589,10.57,9.0,
80736.0,247.245837,-24.537989,14.26,1.06,7.57,6.872,0.725,0.002,5484.90481674,4.09898086864,2.24597278756,659.370575099,3.34059762758,247.245837,-24.537989,7.57,2.0,148428.0
80462.0,246.351321,-24.465714,8.47,0.85,7.88,7.222,0.759,0.015,5389.26121837,8.93929426866,3.43556273327,295.531047497,2.51941705165,246.351321,-24.465714,7.88,2.0,147889.0
82818.0,253.878557,-24.445398,3.42,1.64,9.79,8.781,1.029,0.015,4788.67024295,11.8350865733,5.00680400791,132.069625009,2.46013053028,253.878557,-24.445398,9.79,2.0,
80196.0,245.582944,-24.363382,4.76,1.66,9.35,8.719,0.682,0.045,5614.63852244,6.94392218625,2.78973888351,451.103067431,2.7380347636,245.582944,-24.363382,9.35,2.0,147343.0
88142.0,270.048108,-24.284296,7.93,0.52,6.64,5.73,1.082,0.01,4690.95009463,42.3395545885,9.86861604206,36.9299043093,1.13636593659,270.048108,-24.284296,6.64,9.0,164031.0
