EPIC	RA	Dec	Data Availability	KepMag	HIP	TYC	UCAC	2MASS	SDSS	Object type	Kepflag	stpropflag	pmra	e_pmra	pmdec	e_pmdec	plx	e_plx	Bmag	e_Bmag	Vmag	e_Vmag	umag	e_umag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	w1mag	e_w1mag	w2mag	e_w2mag	w3mag	e_w3mag	w4mag	e_w4mag	Teff	ep_teff	em_teff	logg	ep_logg	em_logg	[Fe/H]	ep_[Fe/H]	em_[Fe/H]	Radius	ep_rad	em_rad	mass	ep_mass	em_mass	rho	ep_rho	em_rho	Distance	ep_d	em_d	E(B-V)	ep_E(B-V)	em_E(B-V)	2MASS Flag	Nearest Neighbor	Nomad ID	Ang Sep (')
213095206	286.8681946	-30.7861938	0	9.229	93923	7410-2900-1	297-216337	19072836-3047102		STAR	BV		-7.540	2.190	-21.240	1.170	6.130	1.390	9.887	0.028	9.324	0.022											8.241	0.027	7.994	0.038	7.932	0.027																																	AAA-111-111-000-0-0	14.900		7.098e-4
213125943	287.3512878	-30.6449108	0	8.726	94108	7410-618-1	297-216890	19092430-3038417		STAR	BV		0.180	1.760	-20.050	0.950	5.430	1.340	10.148	0.040	8.950	0.019											6.955	0.026	6.434	0.031	6.239	0.023																																	AAA-111-111-000-0-0	28.400		2.472e-4
233325261	256.9127120	-30.3005950	0	9.569	83806	7361-339-1	299-112274	17073905-3018019		STAR	gri		-63.230	1.320	-42.950	0.720	6.330	1.360	10.042	0.029	9.469	0.024			9.879	0.090	9.421	0.090	9.436	0.180			8.446	0.026	8.233	0.026	8.185	0.023																																	AAA-111-111-000-0-0	12.000		6.612e-4
238003532	259.3355890	-30.1644490	1	6.801	84576	7362-111-1	300-124858	17172054-3009520		STAR	BV	plx	-25.360	0.820	-7.390	0.340	5.900	0.780	7.791	0.017	6.986	0.011											5.359	0.024			4.761	0.021									5158	211	169	2.491	0.640	0.060	-0.833	0.650	0.250	8.932	0.853	3.764	0.906	1.104	0.022	0.001	0.009	2.309e-4	169.500	22.410	22.410	0.098	0.049	0.035	AEA-111-111-000-0-0	15.800		3.000e-4
240261123	262.8877240	-29.9673130	1	9.404	85770	6838-499-1	301-135733	17313307-2958023		STAR	gri	plx	6.250	2.510	-7.910	1.060	1.880	2.160	10.152	0.035	9.574	0.030			9.882	0.030	9.329	0.040	9.200	0.060			8.231	0.023	8.004	0.046	7.924	0.026									6712	8779	787	3.663	0.130	0.182	0.176	0.100	0.100	3.513	6.342	0.968	2.030	9.721	0.491	0.039	0.042	0.024	531.900	611.100	611.100	0.429	0.893	0.298	AAA-111-111-000-0-0	11.800		8.161e-4
235636710	260.9749340	-29.8211590	1	8.235	85132	6837-519-1	301-130345	17235398-2949161		STAR	gri	plx	-11.210	1.080	-38.140	0.600	11.300	0.930	8.515	0.019	7.589	0.012			9.635	0.030	8.822	0.040	7.635	0.060			5.932	0.018	5.461	0.029	5.373	0.018									4981	81	81	3.398	0.054	0.108	-0.236	0.150	0.270	3.657	0.102	0.119	1.237	0.126	0.303	0.024	0.004	0.004	85.270	3.477	3.477	0.000	0.000	0.000	AAA-111-111-000-0-0	12.600		9.032e-4
235666234	259.1358370	-29.7310210	1	9.004	84501	6824-280-1	302-124098	17163260-2943515		STAR	BV	plx	-23.600	1.610	-42.150	0.710	2.930	1.510	9.647	0.025	9.094	0.020											7.891	0.020	7.648	0.034	7.583	0.024									6332	232	193	3.879	0.120	0.144	0.076	0.080	0.180	2.295	0.490	0.404	1.526	0.131	0.131	0.119	0.065	0.049	200.500	10.360	10.360	0.113	0.079	0.033	AAA-111-111-000-0-0	11.300		2.046e-4
240390456	264.8351820	-29.5309700	0	6.565	86404	6839-371-1	303-144915			STAR	BV		-2.550	0.650	-14.100	0.340	7.060	0.630	7.679	0.016	6.724	0.010																																																				0.001
202554966	244.0629410	-29.2423470	0	8.955	79722	6805-1859-1	304-088335	16161510-2914324		STAR	BV		-18.600	1.530	-0.430	1.010	4.890	1.260	9.991	0.030	9.153	0.020											7.499	0.026	7.073	0.036	6.956	0.023																																	AAA-111-111-000-0-0	23.300		9.075e-4
213513475	286.7769165	-29.1608448	0	8.571	93877	6886-264-1	305-266775	19070645-2909390		STAR	BV		-3.450	1.460	-14.130	0.870	4.420	1.190	9.850	0.029	8.765	0.016											6.796	0.026	6.280	0.047	6.100	0.027																																	AAA-111-111-000-0-0	12.800		2.314e-5
