HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP3208,3819.0,4652.0,111.0,92.0,2.643,0.185,0.185,0.071,0.12,0.15,EPIC
HIP3319,,6062.0,182.0,182.0,3.873,0.145,0.145,0.002,0.15,0.18,EPIC
HIP3350,4007.0,6173.0,183.0,183.0,3.787,0.085,0.085,0.028,0.1,0.14,EPIC
HIP3364,4015.0,6072.0,181.0,181.0,4.021,0.125,0.15,-0.108,0.2,0.24,EPIC
HIP3384,4044.0,6124.0,181.0,145.0,3.853,0.081,0.045,-0.094,0.12,0.33,EPIC
HIP3574,4313.0,5185.0,83.0,250.0,3.356,0.02,0.399,0.095,0.06,0.52,EPIC
HIP3591,4352.0,4792.0,116.0,116.0,2.87,0.105,0.189,-0.154,0.2,0.36,EPIC
HIP3652,4465.0,,,,,,,,,,EPIC
HIP3655,4447.0,,,,,,,,,,EPIC
HIP3658,4446.0,4823.0,115.0,115.0,2.538,0.248,0.186,-0.128,0.2,0.36,EPIC
HIP3738,4606.0,,,,,,,,,,EPIC
HIP3743,,4769.0,96.0,96.0,2.196,0.25,0.5,-0.902,0.49,0.35,EPIC
HIP3758,4629.0,4878.0,139.0,119.0,2.622,0.228,0.266,-0.127,0.2,0.48,EPIC
HIP3793,,6391.0,194.0,194.0,4.058,0.15,0.15,0.002,0.12,0.18,EPIC
HIP3968,4887.0,5371.0,156.0,187.0,2.462,0.066,0.055,-1.432,0.25,0.95,EPIC
HIP3972,4898.0,4831.0,95.0,95.0,2.825,0.108,0.234,-0.151,0.16,0.32,EPIC
HIP3992,4928.0,,,,,,,,,,EPIC
HIP4013,,5013.0,152.0,91.0,2.751,0.567,0.405,-0.635,0.35,0.35,EPIC
HIP4094,5052.0,5211.0,166.0,83.0,2.568,0.26,0.13,-1.167,0.2,0.2,EPIC
HIP4113,5075.0,6159.0,147.0,295.0,3.667,0.08,0.32,0.011,0.12,0.09,EPIC
HIP4125,5104.0,,,,,,,,,,EPIC
HIP4180,,4853.0,147.0,117.0,2.923,0.35,0.49,-0.275,0.25,0.35,EPIC
HIP4219,5180.0,5032.0,81.0,81.0,3.29,0.18,0.18,-0.472,0.35,0.25,EPIC
HIP4221,5179.0,,,,,,,,,,EPIC
HIP4231,5214.0,4621.0,92.0,92.0,2.479,0.132,0.11,0.07,0.12,0.15,EPIC
HIP4286,,6370.0,153.0,128.0,4.146,0.14,0.196,-0.08,0.15,0.27,EPIC
HIP4297,5319.0,4899.0,137.0,117.0,3.273,0.09,0.09,-0.134,0.18,0.45,EPIC
HIP4352,,4719.0,142.0,142.0,2.468,0.242,0.11,-0.092,0.18,0.27,EPIC
HIP4370,,,,,,,,,,,EPIC
HIP4503,,4842.0,146.0,146.0,2.665,0.406,0.29,-0.234,0.25,0.4,EPIC
HIP4564,,6284.0,377.0,314.0,4.071,0.16,0.192,-0.027,0.15,0.21,EPIC
HIP4570,5666.0,5585.0,55.0,89.0,2.544,0.02,0.022,-1.415,0.22,0.05,EPIC
HIP4765,5971.0,,,,,,,,,,EPIC
HIP4790,,,,,,,,,,,EPIC
HIP4804,6019.0,4922.0,178.0,79.0,3.148,0.135,0.297,-0.17,0.15,0.42,EPIC
HIP4832,6077.0,4845.0,78.0,97.0,2.668,0.162,0.27,-0.047,0.15,0.3,EPIC
HIP4859,,5877.0,141.0,176.0,3.925,0.238,0.17,-0.167,0.25,0.45,EPIC
HIP4906,6186.0,,,,,,,,,,EPIC
HIP5048,6346.0,4728.0,113.0,113.0,2.535,0.252,0.14,-0.027,0.15,0.21,EPIC
HIP5060,6375.0,4555.0,53.0,71.0,2.609,0.18,0.09,0.075,0.12,0.08,EPIC
HIP5123,6465.0,4745.0,141.0,141.0,2.469,0.242,0.132,-0.127,0.2,0.28,EPIC
HIP5133,6464.0,4637.0,111.0,74.0,2.569,0.18,0.15,-0.029,0.12,0.15,EPIC
HIP5432,6877.0,5271.0,314.0,261.0,3.6,0.15,0.125,-0.187,0.24,0.32,EPIC
HIP5474,6967.0,6654.0,199.0,199.0,4.099,0.102,0.085,-0.05,0.12,0.15,EPIC
HIP5572,,4836.0,99.0,99.0,2.576,0.418,0.228,-0.342,0.25,0.4,EPIC
HIP5593,7128.0,5478.0,99.0,165.0,3.809,0.06,0.06,-0.046,0.2,0.24,EPIC
HIP5655,7217.0,4954.0,100.0,80.0,2.402,0.045,0.126,-0.645,0.2,0.48,EPIC
HIP5818,,4296.0,85.0,51.0,0.024,0.308,0.042,-2.134,0.25,0.55,EPIC
HIP5821,7448.0,5166.0,160.0,193.0,2.441,0.27,0.045,-0.837,0.35,0.25,EPIC
HIP5920,7605.0,6960.0,137.0,137.0,3.807,0.165,0.165,-0.016,0.12,0.12,EPIC
HIP5995,,5270.0,128.0,85.0,2.466,0.196,0.07,-1.042,0.2,0.32,EPIC
HIP6112,7873.0,4551.0,130.0,156.0,2.369,0.145,0.551,-0.087,0.2,0.76,EPIC
HIP6217,8031.0,5178.0,62.0,209.0,3.796,0.02,0.116,0.141,0.06,0.14,EPIC
HIP6226,8036.0,,,,,,,,,,EPIC
HIP6298,8127.0,5872.0,94.0,236.0,4.001,0.08,0.128,0.062,0.2,0.32,EPIC
