HIP,MH,eMH,Teff,eTeff,logg,elogg,L_hip,eL,label,Notes
840,-0.1,0.024,4849,34,2.908,0.08,17.3043192425,1.1116840249,field,SONG
1708,0.149,0.047,4970,57,2.485,0.166,89.7274516446,7.9062918701,field,SONG
2611,-0.047,0.034,4822,46,2.574,0.13,61.9677975247,6.6213767093,host,SONG
3031,-0.504,0.026,5059,27,2.638,0.047,46.7883464935,1.6383590225,field,SONG
3179,0.016,0.057,4806,84,2.379,0.18,703.019873527,25.3731947088,field,SONG
3231,-0.029,0.026,5169,30,2.865,0.087,87.2185171702,6.4171456521,field,SONG
3607,-0.125,0.028,4948,35,2.741,0.092,57.875849441,3.8504384495,field,SONG
3750,-0.104,0.026,4825,38,2.841,0.102,18.9880178607,2.436669962,field,SONG
3834,0.042,0.029,4988,39,3.216,0.092,14.9484371492,1.1435576198,host,SONG
4422,-0.328,0.026,4905,28,2.504,0.095,56.9904431333,2.3194078536,field,SONG
4552,0.143,0.033,4917,47,3.244,0.163,13.5659710981,0.7299841758,host,SONG
4906,-0.233,0.025,4929,28,2.597,0.065,64.2429072731,2.4122923913,field,SONG
4914,-0.271,0.026,4598,46,2.4,0.112,92.18611678,5.7647969498,field,SONG
5364,0.092,0.047,4638,85,2.487,0.187,74.1720381691,2.3160804608,field,SONG
9631,-0.049,0.047,4885,59,2.721,0.141,55.0293211695,8.1025487859,field,SONG
9884,-0.133,0.033,4575,60,2.322,0.149,82.6579123826,2.5659392102,host,SONG
11432,-0.066,0.032,4613,56,2.419,0.146,55.304657569,4.1064515851,field,SONG
11791,0.03,0.029,4885,41,2.853,0.093,51.4810034963,4.0644851617,host,SONG
12247,0.046,0.037,4897,52,2.768,0.124,50.5256794182,4.4604414215,host,SONG
20889,0.224,0.048,4954,65,2.751,0.167,81.5017434577,3.0137109056,host,SONG
27253,0.365,0.033,5632,42,3.808,0.066,5.5413601226,0.2382919176,host,SONG
31592,0.217,0.046,4801,84,3.18,0.174,11.6258311274,0.3572788855,host,SONG
36616,0.144,0.035,4648,62,2.507,0.144,76.7124091069,4.7328579462,host,SONG
36795,0.05,0.055,6289,79,3.753,0.123,8.4459302827,0.2734820549,host,SONG
37826,0.113,0.032,4943,45,3.014,0.105,38.6082266259,1.1538397831,host,SONG
39311,-0.366,0.025,4382,54,2.033,0.156,157.194983605,7.6659969856,host,SONG
40526,-0.252,0.046,4153,100,1.413,0.316,610.081021259,28.0333181822,host,SONG
42527,-0.137,0.035,4525,65,2.309,0.173,119.986112131,6.0326280779,host,SONG
46390,-0.061,0.051,4215,110,1.598,0.349,834.981482703,29.614267872,field,SONG
46471,-0.291,0.024,4817,29,2.417,0.079,57.2435955615,4.1848758899,host,SONG
